,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,0.99301,0.005238400001078844,1.91,1.0402011,-1.02
1,6.25e-05,0.9929462499999999,0.005260025000199676,1.91,1.0401914,-1.14
2,0.000125,0.992875,0.005238749999552966,1.91,1.0403645,-1.08
3,0.0001875,0.9928075,0.005234600000083446,1.91,1.0405088,-1.02
4,0.00025,0.9927437499999999,0.005226875001564622,1.91,1.0405022,-1.06
5,0.0003125,0.9926775,0.0052721499986946585,1.91,1.0404679000000001,-1.05
6,0.000375,0.992611875,0.005286618748679757,1.91,1.0404445,-1.09
7,0.0004375,0.9925437500000001,0.005315624998882413,1.91,1.040428,-1.04
8,0.0005,0.99247875,0.005281525000929832,1.91,1.0404133,-1.04
9,0.0005625,0.9924137500000001,0.005309724997729063,1.91,1.0403963000000003,-1.04
10,0.000625,0.99234875,0.005316475000232458,1.91,1.0403844,-1.06
11,0.0006875,0.9922825000000001,0.005396849999204278,1.91,1.0403687000000004,-1.08
12,0.00075,0.9922150000000001,0.005475399998947978,1.91,1.0403303000000002,-1.05
13,0.0008125,0.992149375,0.005428618749603629,1.91,1.040313,-1.05
14,0.000875,0.99208375,0.00541402499936521,1.91,1.0403002000000001,-1.06
15,0.0009375,0.9920175,0.0053888499997556205,1.91,1.0404471000000002,-1.05
16,0.001,0.9919518749999999,0.005399818751960992,1.91,1.0405995000000001,-1.06
17,0.0010625,0.991885625,0.005410068748518825,1.91,1.0405577000000001,-1.01
18,0.001125,0.9918224999999999,0.005423399999737739,1.91,1.0405525000000002,-1.05
19,0.0011875,0.991756875,0.005439868748188019,1.91,1.0405328000000003,-1.05
20,0.00125,0.9916912499999999,0.005404775001108647,1.91,1.0405178000000004,-1.04
21,0.0013125,0.99162625,0.00542497499845922,1.91,1.0404888000000003,-1.06
22,0.001375,0.99156,0.0053599000014364715,1.91,1.0406535000000001,-1.04
23,0.0014375,0.991495,0.005368349999189377,1.91,1.0406393,-1.01
24,0.0015,0.991431875,0.0053838687501847745,1.91,1.0406355,-1.1
25,0.0015625,0.991363125,0.005407118750736117,1.91,1.0409514,-1.07
26,0.001625,0.99129625,0.005455775000154972,1.91,1.0409192000000003,-1.05
27,0.0016875,0.991230625,0.005470868749544024,1.91,1.0409036000000003,-1.04
