,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,0.993025941922096,0.007353070765733719,2.103055152757638,1.0359563398170046,-1.127156357817891
1,3.125e-05,0.9929907182859143,0.007359430052340031,2.1031551577578877,1.035978178908959,-1.1149057452872644
2,6.25e-05,0.992955877481374,0.007363631617277861,2.1033551677583877,1.0359948917445976,-1.1139556977848892
3,9.375e-05,0.9929210663658183,0.007372312922030688,2.103555177758888,1.0360074898745013,-1.1097554877743887
4,0.000125,0.9928863865068254,0.007375171646475792,2.103805190259513,1.0360270283514224,-1.1127056352817641
5,0.00015625,0.9928516144557228,0.007377260081470013,2.104155207760388,1.0360499924996274,-1.1089054452722635
6,0.0001875,0.992816961160558,0.007382352601736784,2.104505225261263,1.0360746142307138,-1.1087054352717636
7,0.00021875,0.9927823141157057,0.007388234745711088,2.104555227761388,1.036089953497676,-1.102905145257263
8,0.00025,0.9927478483299165,0.007389957293868065,2.104855242762138,1.036106232311615,-1.1005550277513876
9,0.00028125,0.9927134559852993,0.007396991796791553,2.1053052652632633,1.0361344857242902,-1.1045552277613881
10,0.0003125,0.9926789386344317,0.0074050045534968375,2.105605280264013,1.0361564688234464,-1.103955197759888
11,0.00034375,0.9926444400345017,0.007404794756323099,2.1057052852642633,1.036171748087407,-1.104605230261513
12,0.000375,0.992609921121056,0.0074072666838765145,2.1058552927646383,1.0361885064253225,-1.1003550177508876
13,0.00040625,0.9925755350267513,0.007412308704108,2.105955297764888,1.036206671333568,-1.1020551027551377
14,0.0004375,0.9925410958047902,0.0074132953099906446,2.106105305265263,1.0362171093554715,-1.1032051602580129
15,0.00046875,0.9925066206435322,0.00741936369612813,2.1064053202660133,1.036236142307118,-1.1009050452522626
16,0.0005,0.9924722173608681,0.007421978581696749,2.1066053302665133,1.0362509205460317,-1.103155157757888
17,0.00053125,0.9924377437621881,0.007427022572606802,2.1069053452672635,1.03626810090505,-1.096204810240512
18,0.0005625,0.9924034873618681,0.0074264583550393585,2.1070553527676386,1.0362775193759735,-1.0992549627481374
19,0.00059375,0.9923691356442822,0.007433419663459063,2.1071053552677634,1.0362906165308279,-1.1017550877543878
20,0.000625,0.9923347057977898,0.007435144990682602,2.107205360268013,1.0363039176958881,-1.0997049852492624
21,0.00065625,0.9923003400170008,0.007440824966877699,2.1074553727686385,1.036320837541883,-1.0960548027401371
22,0.0006875,0.9922660883044152,0.007445780653506517,2.1076053802690136,1.0363337681884162,-1.096204810240512
23,0.00071875,0.9922318319040953,0.007449043244123459,2.1080054002700135,1.0363566308315486,-1.0970548527426371
24,0.00075,0.9921975489399469,0.007454833693802357,2.1082554127706383,1.0363694799740057,-1.0975548777438873
25,0.00078125,0.9921632503500175,0.007455582823604345,2.1085554277713885,1.0363971268563517,-1.1001050052502626
26,0.0008125,0.9921288720686035,0.007459040079265833,2.1086554327716387,1.0364163358167957,-1.095954797739887
27,0.00084375,0.992094623481174,0.0074609251953661445,2.1089554477723884,1.0364302115105812,-1.095704785239262
28,0.000875,0.9920603827066353,0.0074672502279281615,2.1093054652732635,1.0364528511425624,-1.0956047802390119
29,0.00090625,0.9920261450572528,0.007470653705298901,2.109505475273764,1.0364667263363199,-1.0994049702485125
30,0.0009375,0.9919917886519326,0.007470276921987534,2.1097554877743887,1.0364822906145348,-1.0995049752487625
31,0.00096875,0.991957429121456,0.007473067980259657,2.1098054902745136,1.0364966273313738,-1.0979048952447623
32,0.001,0.9919231195934797,0.007476820763200521,2.1101055052752637,1.0365134121706152,-1.0966048302415121
33,0.00103125,0.9918888506925346,0.007481854215264321,2.110455522776139,1.0365308060403062,-1.096204810240512
34,0.0010625,0.9918545942922147,0.007484173737466336,2.1106555327766388,1.0365417710885592,-1.0928046402320115
35,0.00109375,0.9918204441472074,0.007485786139965057,2.111155557777889,1.0365595889794494,-1.0974548727436373
36,0.001125,0.9917861486824342,0.007489205028861761,2.1114055702785137,1.0365761428071405,-1.096354817740887
37,0.00115625,0.9917518875943797,0.0074924793653190136,2.111905595279764,1.036602904145208,-1.0936546827341367
38,0.0011875,0.9917177108855443,0.007496657468378544,2.112105605280264,1.0366129256462833,-1.096804840242012
39,0.00121875,0.9916834357342867,0.00750065428763628,2.112355617780889,1.0366306155307772,-1.0951547577378868
40,0.00125,0.9916492121481074,0.007502043303102255,2.113055652782639,1.0366558237911907,-1.0949547477373869
41,0.00128125,0.9916149948122407,0.00750548930093646,2.1132056602830143,1.036673993199662,-1.095454772738637
42,0.0013125,0.9915807618505926,0.00750673683360219,2.113455672783639,1.0366927141357107,-1.1018050902545127
43,0.00134375,0.9915463304415221,0.007512662630528212,2.1139056952847644,1.0367152032601634,-1.095104755237762
44,0.001375,0.9915121084179209,0.007521045584231615,2.1139556977848892,1.0367271263563176,-1.0988049402470124
45,0.00140625,0.9914777707635382,0.007521467544138432,2.114155707785389,1.036749095454773,-1.095304765238262
46,0.0014375,0.9914435424896245,0.007522384364157915,2.1144557227861394,1.0367644202210142,-1.0945547277363867
47,0.00146875,0.9914093376543828,0.007523324228823185,2.1147557377868895,1.036774521226063,-1.1001550077503874
48,0.0015,0.9913749578103904,0.0075297592468559745,2.1151057552877646,1.0367875968798426,-1.096304815240762
49,0.00153125,0.9913406982849142,0.007531336382031441,2.1152057602880143,1.0367980839041941,-1.0964048202410122
50,0.0015625,0.9913064356342817,0.007537320390343666,2.1154057702885143,1.0368094449722474,-1.0935046752337616
51,0.00159375,0.9912722636131807,0.007541394595056772,2.1156057802890142,1.0368226866343324,-1.0933046652332616
