,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
65,181.37037037037038,0.8768148148148148,-32.44444444444444,0.0325,115.5925925925926,59.91526474622777
66,212.8148148148148,0.8605925925925926,-34.629629629629626,0.033,115.55555555555556,67.06292729766783
67,246.44444444444446,0.8432777777777778,-101.11111111111111,0.0335,149.22222222222223,74.6101604938272
68,346.55555555555554,0.7927222222222222,-33.18518518518518,0.034,149.1851851851852,90.08375308642
69,378.74074074074076,0.7761296296296297,-30.074074074074073,0.0345,149.1851851851852,92.39098491083668
70,407.81481481481484,0.7610925925925927,-0.9259259259259259,0.035,178.25925925925927,92.36344581618648
71,407.74074074074076,0.7606296296296297,-1.0,0.0355,178.25925925925927,92.3273923182441
72,407.74074074074076,0.7601296296296297,-1.0,0.036,178.25925925925927,92.3273923182441
73,407.74074074074076,0.7596296296296297,-0.9259259259259259,0.0365,178.25925925925927,92.32739231824385
74,407.6666666666667,0.7591666666666667,-47.25925925925926,0.037,178.25925925925927,92.29403703703709
75,453.9259259259259,0.7355370370370371,-0.9629629629629629,0.0375,205.33333333333334,87.19747873799713
76,453.8888888888889,0.7350555555555556,-43.074074074074076,0.038,205.33333333333334,87.17934567901236
77,481.14814814814815,0.7135185185185184,-1.0,0.0385,228.90066666666667,90.54446227709204
78,481.14814814814815,0.7130185185185185,-1.0,0.039,228.90066666666667,90.54446227709204
79,481.14814814814815,0.7125185185185184,-57.44444444444444,0.0395,228.90066666666667,90.54446227709192
80,522.7037037037037,0.6837962962962963,-0.9629629629629629,0.04,275.7481851851852,83.98326886145409
81,522.6666666666666,0.6833148148148148,-0.9629629629629629,0.0405,275.71114814814814,83.96915363511675
82,522.6296296296297,0.6828333333333334,-12.777777777777779,0.041,275.67411111111113,83.95507407407393
83,516.8518518518518,0.6764444444444444,-1.0,0.0415,267.2268888888889,88.67045679012348
84,516.8518518518518,0.6759444444444445,-31.88888888888889,0.042,267.2268888888889,88.67045679012348
85,535.4074074074074,0.66,-57.81481481481482,0.0425,314.3516666666667,84.6042962962963
86,592.2222222222222,0.6310925925925926,-30.88888888888889,0.043,344.5368518518518,71.05870507544581
87,606.7037037037037,0.6156481481481482,-0.9629629629629629,0.0435,328.6278148148148,63.51432647462282
88,606.6666666666666,0.6151666666666666,-35.7037037037037,0.044,328.5907777777778,63.50518518518528
89,641.3703703703703,0.5973148148148147,-35.333333333333336,0.0445,363.2944814814815,55.50837585733889
90,675.7037037037037,0.5796481481481481,-4.296296296296297,0.045,397.62781481481477,46.239030178326416
91,667.8888888888889,0.5775,-0.9259259259259259,0.0455,385.36855555555553,46.911111111111126
92,667.8148148148148,0.577037037037037,-13.333333333333334,0.046,385.29448148148145,46.902071330589706
93,661.8888888888889,0.5703703703703703,-41.18518518518518,0.0465,377.1696296296296,49.29324417009612
94,687.7037037037037,0.5497777777777778,-14.074074074074074,0.047,398.07014814814806,39.28986419753067
95,687.6296296296297,0.5427407407407407,-6.925925925925926,0.0475,395.6901851851851,37.582976680384014
96,679.6296296296297,0.5392777777777779,-0.9259259259259259,0.048,416.1242222222222,38.356419753086286
97,679.5555555555555,0.5388148148148147,-0.9259259259259259,0.0485,416.05014814814814,38.35304252400552
98,679.4814814814815,0.5383518518518519,-33.7037037037037,0.049,415.97607407407406,38.34973388203012
99,679.4074074074074,0.5215,-48.22222222222222,0.0495,461.0068888888888,40.81888888888888
100,677.8888888888889,0.49738888888888894,-27.925925925925927,0.05,459.04570370370374,30.04893827160483
101,671.4074074074074,0.4834259259259259,-50.48148148148148,0.0505,500.22492592592585,28.456137174211268
102,682.2962962962963,0.45818518518518514,-7.481481481481482,0.051,510.6598518518519,14.167931412894454
103,655.2962962962963,0.4544444444444445,-0.8518518518518519,0.0515,547.6954444444444,13.925012345678988
104,655.1851851851852,0.45401851851851854,-14.074074074074074,0.052,547.5836666666667,13.915165980795573
105,655.074074074074,0.4469814814814815,-0.8518518518518519,0.0525,544.8987037037037,15.89009190672153
106,643.5925925925926,0.44655555555555554,-50.0,0.053,529.6365925925926,15.880456790123484
107,626.8518518518518,0.4215555555555555,-0.8518518518518519,0.0535,530.6037777777777,14.463382716049383
108,626.7037037037037,0.42112962962962963,-6.037037037037037,0.054,530.4955555555555,14.45042935528123
109,621.4814814814815,0.4181111111111111,-0.7777777777777778,0.0545,525.124962962963,15.160012345679046
110,621.2592592592592,0.4177222222222222,-11.0,0.055,524.9677037037036,15.139493827160505
111,614.6666666666666,0.4122222222222222,-6.888888888888889,0.0555,516.4109629629629,16.306530864197526
112,592.0,0.4087777777777778,-5.925925925925926,0.056,493.71266666666656,16.759901234567923
113,579.2592592592592,0.40581481481481485,-0.8518518518518519,0.0565,512.3903333333334,16.081338820301752
114,579.1111111111111,0.4053888888888889,-14.148148148148149,0.057,512.3028518518519,16.059901234567864
