,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
98,0.0,0.951,-1.0,0.049,1.0,0.0
99,0.0,0.9505,-1.0,0.0495,1.0,0.0
100,0.0,0.95,-1.0,0.05,1.0,0.0
101,0.0,0.9495,-1.0,0.0505,1.0,0.0
102,0.0,0.949,-1.0,0.051,1.0,0.0
103,0.0,0.9485,-1.0,0.0515,1.0,0.0
104,0.0,0.948,-1.0,0.052,1.0,0.0
105,0.0,0.9475,-1.0,0.0525,1.0,0.0
106,0.0,0.947,-1.0,0.053,1.0,0.0
107,0.0,0.9465,-1.0,0.0535,1.0,0.0
108,0.0,0.946,-1.0,0.054,1.0,0.0
109,0.0,0.9455,-1.0,0.0545,1.0,0.0
110,0.0,0.945,-1.0,0.055,1.0,0.0
111,0.0,0.9445,-1.0,0.0555,1.0,0.0
112,0.0,0.944,-1.0,0.056,1.0,0.0
113,0.0,0.9435,-1.0,0.0565,1.0,0.0
114,0.0,0.943,-1.0,0.057,1.0,0.0
115,0.0,0.9425,-1.0,0.0575,1.0,0.0
116,0.0,0.942,-1.0,0.058,1.0,0.0
117,0.0,0.9415,-1.0,0.0585,1.0,0.0
118,0.0,0.941,-1.0,0.059,1.0,0.0
119,0.0,0.9405,-1.0,0.0595,1.0,0.0
120,0.0,0.94,-1.0,0.06,1.0,0.0
121,0.0,0.9395,-1.0,0.0605,1.0,0.0
122,0.0,0.939,-1.0,0.061,1.0,0.0
123,0.0,0.9385,-1.0,0.0615,1.0,0.0
124,0.0,0.938,-1.0,0.062,1.0,0.0
125,0.0,0.9375,-1.0,0.0625,1.0,0.0
126,0.0,0.937,-1.0,0.063,1.0,0.0
127,0.0,0.9365,-1.0,0.0635,1.0,0.0
128,0.0,0.936,-1.0,0.064,1.0,0.0
129,0.0,0.9355,-1.0,0.0645,1.0,0.0
130,0.0,0.935,-1.0,0.065,1.0,0.0
131,0.0,0.9345,-1.0,0.0655,1.0,0.0
132,0.0,0.934,-1.0,0.066,1.0,0.0
133,0.0,0.9335,-1.0,0.0665,1.0,0.0
134,0.0,0.933,-1.0,0.067,1.0,0.0
135,0.0,0.9325,-1.0,0.0675,1.0,0.0
136,0.0,0.932,-1.0,0.068,1.0,0.0
137,0.0,0.9315,-1.0,0.0685,1.0,0.0
138,0.0,0.931,-1.0,0.069,1.0,0.0
139,0.0,0.9305,-1.0,0.0695,1.0,0.0
140,0.0,0.93,-1.0,0.07,1.0,0.0
141,0.0,0.9295,-1.0,0.0705,1.0,0.0
142,0.0,0.929,-1.0,0.071,1.0,0.0
143,0.0,0.9285,-1.0,0.0715,1.0,0.0
144,0.0,0.928,-1.0,0.072,1.0,0.0
145,0.0,0.9275,-1.0,0.0725,1.0,0.0
146,0.0,0.927,-1.0,0.073,1.0,0.0
147,0.0,0.9265,-1.0,0.0735,1.0,0.0
148,0.0,0.926,-1.0,0.074,1.0,0.0
149,0.0,0.9255,-1.0,0.0745,1.0,0.0
