,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
106,0.0,0.993375,-1.0,0.006625,1.0,0.0
107,0.0,0.9933125,-1.0,0.0066875,1.0,0.0
108,0.0,0.99325,-1.0,0.00675,1.0,0.0
109,0.0,0.9931875,-1.0,0.0068125,1.0,0.0
110,0.0,0.993125,-1.0,0.006875,1.0,0.0
111,0.0,0.9930625,-1.0,0.0069375,1.0,0.0
112,0.0,0.993,-1.0,0.007,1.0,0.0
113,0.0,0.9929375,-1.0,0.0070625,1.0,0.0
114,0.0,0.992875,-1.0,0.007125,1.0,0.0
115,0.0,0.9928125,-1.0,0.0071875,1.0,0.0
116,0.0,0.99275,-1.0,0.00725,1.0,0.0
117,0.0,0.9926875,-1.0,0.0073125,1.0,0.0
118,0.0,0.992625,-1.0,0.007375,1.0,0.0
119,0.0,0.9925625,-1.0,0.0074375,1.0,0.0
120,0.0,0.9925,-1.0,0.0075,1.0,0.0
121,0.0,0.9924375,-1.0,0.0075625,1.0,0.0
122,0.0,0.992375,-1.0,0.007625,1.0,0.0
123,0.0,0.9923125,-1.0,0.0076875,1.0,0.0
124,0.0,0.99225,-1.0,0.00775,1.0,0.0
125,0.0,0.9921875,-1.0,0.0078125,1.0,0.0
126,0.0,0.992125,-1.0,0.007875,1.0,0.0
127,0.0,0.9920625,-1.0,0.0079375,1.0,0.0
128,0.0,0.992,-1.0,0.008,1.0,0.0
129,0.0,0.9919375,-1.0,0.0080625,1.0,0.0
130,0.0,0.991875,-1.0,0.008125,1.0,0.0
131,0.0,0.9918125,-1.0,0.0081875,1.0,0.0
132,0.0,0.99175,-1.0,0.00825,1.0,0.0
133,0.0,0.9916875,-1.0,0.0083125,1.0,0.0
134,0.0,0.991625,-1.0,0.008375,1.0,0.0
135,0.0,0.9915625,-1.0,0.0084375,1.0,0.0
136,0.0,0.9915,-1.0,0.0085,1.0,0.0
137,0.0,0.9914375,-1.0,0.0085625,1.0,0.0
138,0.0,0.991375,-1.0,0.008625,1.0,0.0
139,0.0,0.9913125,-1.0,0.0086875,1.0,0.0
140,0.0,0.99125,-1.0,0.00875,1.0,0.0
141,0.0,0.9911875,-1.0,0.0088125,1.0,0.0
142,0.0,0.991125,-1.0,0.008875,1.0,0.0
143,0.0,0.9910625,-1.0,0.0089375,1.0,0.0
144,0.0,0.991,-1.0,0.009,1.0,0.0
145,0.0,0.9909375,-1.0,0.0090625,1.0,0.0
146,0.0,0.990875,-1.0,0.009125,1.0,0.0
147,0.0,0.9908125,-1.0,0.0091875,1.0,0.0
148,0.0,0.99075,-1.0,0.00925,1.0,0.0
149,0.0,0.9906875,-1.0,0.0093125,1.0,0.0
150,0.0,0.990625,-1.0,0.009375,1.0,0.0
151,0.0,0.9905625,-1.0,0.0094375,1.0,0.0
152,0.0,0.9905,-1.0,0.0095,1.0,0.0
153,0.0,0.9904375,-1.0,0.0095625,1.0,0.0
154,0.0,0.990375,-1.0,0.009625,1.0,0.0
155,0.0,0.9903125,-1.0,0.0096875,1.0,0.0
156,0.0,0.99025,-1.0,0.00975,1.0,0.0
157,0.0,0.9901875,-1.0,0.0098125,1.0,0.0
158,0.0,0.990125,-1.0,0.009875,1.0,0.0
159,0.0,0.9900625,-1.0,0.0099375,1.0,0.0
160,0.0,0.99,-1.0,0.01,1.0,0.0
161,0.0,0.9899375,-1.0,0.0100625,1.0,0.0
162,0.0,0.989875,-1.0,0.010125,1.0,0.0
163,0.0,0.9898125,-1.0,0.0101875,1.0,0.0
164,0.0,0.98975,-1.0,0.01025,1.0,0.0
165,0.0,0.9896875,-1.0,0.0103125,1.0,0.0
166,0.0,0.989625,-1.0,0.010375,1.0,0.0
167,0.0,0.9895625,-1.0,0.0104375,1.0,0.0
168,0.0,0.9895,-1.0,0.0105,1.0,0.0
169,0.0,0.9894375,-1.0,0.0105625,1.0,0.0
170,0.0,0.989375,-1.0,0.010625,1.0,0.0
