,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
92,27.05,0.196,-1.21,0.368,15.1458797,1.4274400000000005
93,26.06,0.19116,-2.57,0.372,14.441793999999998,1.3845036000000017
94,25.51,0.18087999999999999,-2.59,0.376,13.924518299999997,1.1572464
95,24.96,0.17052,-1.48,0.38,13.534672100000005,1.091812399999999
96,24.35,0.1646,-2.0,0.384,13.064884599999996,1.0260299999999998
97,23.83,0.1566,-1.83,0.388,12.713892200000005,0.9679500000000008
98,23.28,0.14928,-1.02,0.392,12.294149899999995,0.8624704000000002
99,22.87,0.1452,-1.83,0.396,11.925366900000004,0.803880000000001
100,21.62,0.13788,-1.15,0.4,11.212908800000005,0.6915564000000004
101,21.12,0.13328,-1.21,0.404,10.853791200000003,0.6259903999999997
102,20.32,0.12844,-1.07,0.408,10.443144,0.5486316000000007
103,19.8,0.12415999999999999,-1.5,0.412,10.0895636,0.48831359999999996
104,18.83,0.11816,-0.6,0.416,9.655558399999997,0.4636336000000001
105,18.02,0.11576,-0.89,0.42,9.2446422,0.4639855999999995
106,17.37,0.11220000000000001,-1.27,0.424,8.841705900000001,0.4099499999999998
107,16.71,0.10712,-1.08,0.428,8.496977300000003,0.3964463999999998
108,16.19,0.1028,-1.26,0.432,8.217988599999998,0.3338000000000002
109,15.68,0.09776,-1.09,0.436,7.911796900000001,0.3024255999999996
110,15.58,0.09340000000000001,-0.91,0.44,7.755598600000004,0.2301899999999996
111,15.02,0.08976,-1.11,0.444,7.460198399999999,0.21938559999999963
112,14.65,0.08532,-0.91,0.448,7.241170299999997,0.20840440000000035
113,14.12,0.08168,-0.53,0.452,6.985113199999997,0.1620143999999998
114,13.88,0.07956,-0.36,0.456,6.784414800000002,0.13975160000000006
115,13.5,0.07812000000000001,-0.57,0.46,6.5595137,0.12531639999999994
116,13.17,0.07584,-0.4,0.464,6.366834699999999,0.10191359999999985
117,12.68,0.07424,-0.58,0.468,6.1445591,0.1007456000000002
118,12.11,0.07192,-0.42,0.472,5.912777300000001,0.08399839999999972
119,11.81,0.07024,-0.51,0.476,5.712448999999998,0.06938560000000006
120,11.56,0.0682,-0.61,0.48,5.573377099999999,0.07162999999999989
121,11.3,0.06576,-0.64,0.484,5.420542199999999,0.06586559999999986
122,10.89,0.0632,-0.96,0.488,5.2167484,0.07079999999999984
123,10.64,0.059359999999999996,-0.55,0.492,5.109386199999998,0.06573760000000005
124,10.36,0.057159999999999996,-0.34,0.496,4.952080899999999,0.05386360000000002
125,10.0,0.055799999999999995,-0.38,0.5,4.808168800000001,0.05307000000000005
126,9.81,0.05428,-0.48,0.504,4.702398400000002,0.049300399999999966
127,9.53,0.05236,-0.47,0.508,4.545003900000001,0.05000760000000003
128,9.23,0.05048,-0.34,0.512,4.415675,0.04702240000000017
129,9.04,0.04912,-0.44,0.516,4.312393800000001,0.04144640000000004
130,8.9,0.04736,-0.36,0.52,4.2276948,0.03405759999999998
131,8.59,0.04592,-0.38,0.524,4.109576099999999,0.033478399999999964
132,8.26,0.0444,-0.19,0.528,3.9857309999999995,0.02771999999999997
133,8.11,0.04364,-0.26,0.532,3.875699600000002,0.02880759999999998
134,7.84,0.0426,-0.3,0.536,3.7524609999999994,0.02802999999999997
135,7.69,0.0414,-0.56,0.54,3.664207699999998,0.027390000000000043
136,7.58,0.03915999999999999,-0.22,0.544,3.5912225000000007,0.02666360000000009
137,7.28,0.03828,-0.27,0.548,3.4846205000000015,0.02306039999999996
138,7.13,0.037200000000000004,-0.27,0.552,3.4093894000000002,0.020999999999999942
139,7.0,0.03612,-0.3,0.556,3.3314180999999996,0.018276400000000022
140,6.84,0.03492,-0.22,0.56,3.263452599999999,0.015668399999999964
141,6.62,0.03404,-0.23,0.564,3.1846741999999995,0.013719600000000014
142,6.46,0.03312,-0.09,0.568,3.1152249,0.014646400000000028
143,6.29,0.03276,-0.12,0.572,3.0420328999999997,0.014935600000000023
144,6.19,0.03228,-0.13,0.576,2.985007600000001,0.015620399999999961
145,6.09,0.031760000000000004,-0.19,0.58,2.9354283000000008,0.014545600000000007
146,6.02,0.031,-0.23,0.584,2.8926298,0.013629999999999996
147,5.9,0.03008,-0.34,0.588,2.8449522000000003,0.01339840000000001
148,5.8,0.02872,-0.18,0.592,2.8023829000000005,0.012430399999999992
149,5.72,0.028,-0.13,0.596,2.7558453000000003,0.01119999999999999
150,5.61,0.02748,-0.07,0.6,2.708996999999999,0.01085239999999999
151,5.55,0.0272,-0.05,0.604,2.678309399999999,0.010000000000000028
152,5.48,0.027,-0.07,0.608,2.6460238999999994,0.010349999999999995
153,5.37,0.026719999999999997,-0.19,0.612,2.600216899999999,0.0103904
154,5.3,0.02596,-0.1,0.616,2.5720098,0.00955959999999999
155,5.19,0.02556,-0.09,0.62,2.528375300000001,0.009511600000000016
156,5.12,0.0252,-0.08,0.624,2.4930363000000004,0.008680000000000007
157,5.04,0.02488,-0.04,0.628,2.4637608,0.00916640000000001
158,4.98,0.02472,-0.15,0.632,2.4318317,0.009470400000000012
159,4.91,0.024120000000000003,-0.05,0.636,2.397333400000001,0.008836399999999998
160,4.85,0.02392,-0.04,0.64,2.3616469,0.008318399999999997
161,4.8,0.02376,-0.12,0.644,2.3345486999999996,0.008625599999999962
162,4.77,0.023280000000000002,-0.02,0.648,2.3053839000000003,0.0075503999999999676
163,4.67,0.0232,-0.06,0.652,2.2744639,0.007439999999999998
164,4.62,0.02296,-0.07,0.656,2.2362618,0.0066096
165,4.55,0.02268,-0.04,0.66,2.2076328000000007,0.006484400000000022
166,4.45,0.02252,-0.07,0.664,2.1753283999999993,0.0066923999999999925
167,4.41,0.02224,-0.15,0.668,2.151318000000001,0.006745600000000024
168,4.34,0.02164,-0.1,0.672,2.1201948999999995,0.006167599999999993
169,4.28,0.02124,-0.11,0.676,2.085844699999999,0.006535600000000016
170,4.2,0.0208,-0.12,0.68,2.0551819999999994,0.006319999999999993
171,4.16,0.02032,-0.09,0.684,2.0260342,0.005734399999999994
172,4.12,0.019960000000000002,-0.05,0.688,2.0014042,0.005719599999999985
173,4.07,0.019760000000000003,-0.05,0.692,1.976062800000001,0.005665599999999983
174,3.97,0.019559999999999998,-0.03,0.696,1.9425034999999997,0.005671600000000012
175,3.85,0.019440000000000002,-0.06,0.7,1.9082086999999996,0.005761599999999987
176,3.8,0.0192,-0.03,0.704,1.887615999999999,0.005040000000000006
177,3.72,0.01908,-0.08,0.708,1.8613616,0.0049484000000000064
178,3.66,0.018760000000000002,-0.09,0.712,1.8346493999999998,0.0051755999999999885
179,3.61,0.0184,-0.09,0.716,1.812133200000001,0.005360000000000014
180,3.52,0.01804,-0.12,0.72,1.7847526000000002,0.005079599999999999
181,3.44,0.01756,-0.08,0.724,1.7594773999999995,0.004631600000000006
182,3.38,0.01724,-0.06,0.728,1.7391228000000003,0.004455600000000018
183,3.34,0.017,-0.07,0.732,1.7132485,0.004430000000000007
184,3.29,0.01672,-0.1,0.736,1.6888051000000006,0.004430400000000006
185,3.24,0.01632,-0.01,0.74,1.6676355,0.004294399999999996
186,3.17,0.016280000000000003,-0.04,0.744,1.6381607999999996,0.004340399999999988
187,3.13,0.016120000000000002,-0.05,0.748,1.6172929999999996,0.00451639999999999
188,3.11,0.01592,-0.07,0.752,1.5928694999999997,0.004318400000000004
189,3.05,0.01564,-0.08,0.756,1.5685025,0.00400759999999999
190,2.99,0.01532,-0.05,0.76,1.5496867,0.003924399999999999
191,2.92,0.01512,-0.1,0.764,1.5283310999999997,0.0038864000000000017
192,2.82,0.01472,-0.08,0.768,1.5037591000000001,0.0038303999999999973
