,Nsec,Sgcc,chiDelta,f,meanS,varSgcc
97,15.35,0.08516,-0.9,0.388,8.567849399999998,0.1609036000000001
98,14.51,0.08156000000000001,-0.85,0.392,8.171811399999998,0.12863159999999993
99,14.17,0.07816,-0.61,0.396,7.864505800000002,0.12923360000000025
100,13.7,0.07572,-1.28,0.4,7.550808499999997,0.13394039999999996
101,13.19,0.0706,-0.74,0.404,7.2766278,0.11043000000000029
102,12.84,0.06764,-0.92,0.408,7.061617700000003,0.09960760000000005
103,12.52,0.06396,-0.57,0.412,6.8080915,0.08427959999999995
104,11.99,0.06168,-0.53,0.416,6.554874299999999,0.07745439999999996
105,11.54,0.05956,-0.52,0.42,6.339913699999999,0.07719159999999987
106,11.09,0.057479999999999996,-0.5,0.424,6.1400358000000015,0.07805240000000004
107,10.69,0.055479999999999995,-0.61,0.428,5.955884099999997,0.0650924000000001
108,10.42,0.05304,-0.6,0.432,5.790285600000002,0.04908960000000002
109,9.95,0.05064,-0.67,0.436,5.622919499999998,0.03713760000000002
110,9.68,0.04796,-0.25,0.44,5.446000799999999,0.03155960000000005
111,9.39,0.04696,-0.44,0.444,5.298592499999999,0.03228959999999995
112,9.2,0.045200000000000004,-0.21,0.448,5.1596242,0.031879999999999936
113,8.92,0.04436,-0.4,0.452,5.0250027,0.03256759999999997
114,8.81,0.04276,-0.25,0.456,4.920047900000002,0.030295600000000037
115,8.39,0.04176,-0.21,0.46,4.7704062999999985,0.02986560000000003
116,8.01,0.040920000000000005,-0.33,0.464,4.6282931,0.029748400000000005
117,7.79,0.0396,-0.46,0.468,4.503682500000001,0.026359999999999956
118,7.52,0.037759999999999995,-0.25,0.472,4.381040999999998,0.02266560000000004
119,7.31,0.03676,-0.33,0.476,4.277113100000002,0.02221560000000005
120,7.17,0.03544,-0.23,0.48,4.167068700000002,0.02072160000000008
121,7.04,0.03452,-0.11,0.484,4.0721772000000005,0.017812399999999968
122,6.87,0.03408,-0.36,0.488,3.968013400000001,0.016598400000000027
123,6.66,0.03264,-0.16,0.492,3.8682267,0.013337600000000008
124,6.42,0.032,-0.23,0.496,3.7564721,0.011839999999999976
125,6.22,0.03108,-0.21,0.5,3.661729800000001,0.012148400000000009
126,6.01,0.03024,-0.26,0.504,3.5613557999999994,0.013145600000000002
127,5.81,0.0292,-0.21,0.508,3.4740139000000005,0.01275999999999999
128,5.73,0.02836,-0.26,0.512,3.3962888,0.0118476
129,5.56,0.02732,-0.35,0.516,3.3103341000000004,0.01240440000000001
130,5.43,0.025920000000000002,-0.13,0.52,3.239513799999999,0.009878399999999971
131,5.27,0.0254,-0.23,0.524,3.157530700000001,0.009790000000000021
132,5.19,0.024480000000000002,-0.15,0.528,3.0879260000000004,0.008262400000000013
133,5.05,0.02388,-0.18,0.532,3.019604900000002,0.00795640000000003
134,4.9,0.02316,-0.07,0.536,2.9478503000000003,0.006823599999999999
135,4.78,0.022879999999999998,-0.36,0.54,2.8763884000000015,0.007046400000000006
136,4.66,0.02144,-0.16,0.544,2.813251700000001,0.005561599999999984
137,4.56,0.0208,-0.14,0.548,2.751085999999999,0.004319999999999993
138,4.42,0.020239999999999998,-0.19,0.552,2.6900100999999994,0.003665600000000012
139,4.31,0.01948,-0.1,0.556,2.628965999999999,0.00213239999999999
140,4.25,0.01908,-0.11,0.56,2.5716215,0.0021484000000000095
141,4.19,0.01864,-0.09,0.564,2.5112316999999997,0.0018575999999999907
142,4.08,0.01828,-0.14,0.568,2.4539221,0.001780399999999986
143,4.0,0.01772,-0.05,0.572,2.3985805,0.0017004000000000162
144,3.96,0.01752,-0.09,0.576,2.347274899999998,0.0016624000000000053
145,3.87,0.01716,-0.09,0.58,2.2924625000000005,0.0014635999999999996
