,f,Sgcc,varSgcc,Nsec,meanS,chiDelta
0,0.0,0.9930478,0.007383215159876272,1.11085,1.0295668075000046,-1.1018
1,0.001,0.991946,0.007509883999940939,1.1151,1.0303065245000058,-1.09195
2,0.002,0.99085405,0.007613848597393371,1.11805,1.0308374990000064,-1.0919
3,0.003,0.98976215,0.007727277377503924,1.12045,1.0311066405000062,-1.09235
4,0.004,0.9886698,0.007838967959978618,1.124,1.0317073605000067,-1.08785
5,0.005,0.98758195,0.007920784197514876,1.127,1.0322696350000071,-1.0863
6,0.006,0.98649565,0.00803478107752744,1.13,1.0327354760000074,-1.0867
7,0.007,0.98540895,0.008139609897392801,1.1328,1.033139628500008,-1.09015
8,0.008,0.9843188,0.008253166559967213,1.1359,1.0335715975000084,-1.08945
9,0.009,0.98322935,0.008375548577634617,1.13855,1.0340114960000077,-1.08765
10,0.01,0.9821417,0.00850012111000251,1.1412,1.0344487145000076,-1.08685
11,0.011,0.98105485,0.008602641477482393,1.1442,1.0348948255000072,-1.08835
12,0.012,0.9799665,0.008742477750056423,1.14695,1.035265280500008,-1.08975
13,0.013,0.97887675,0.008842959437519312,1.1499,1.0357437030000087,-1.09165
14,0.014,0.9777851000000001,0.00895891798986122,1.154,1.0364230270000088,-1.0871
15,0.015,0.976698,0.009060096000088379,1.15675,1.0368329820000084,-1.0926
16,0.016,0.9756054000000001,0.009158290839986876,1.16035,1.0374295700000093,-1.0951
17,0.017,0.9745103,0.00926749390992336,1.1637,1.0379523625000087,-1.0902
18,0.018,0.9734201,0.009375915989978239,1.16725,1.0385193495000085,-1.0914
19,0.019,0.9723287,0.009470756309921852,1.1708,1.0390069695000095,-1.091
20,0.02,0.9712377,0.009599498710012994,1.17425,1.039433967000009,-1.0908
21,0.021,0.9701468999999999,0.009711720390128903,1.17715,1.0398452505000084,-1.0912
22,0.022,0.9690557,0.009834197510033846,1.1805,1.0402815465000084,-1.0957
23,0.023,0.96796,0.009942599999951198,1.18415,1.0407568350000087,-1.09375
24,0.024,0.96686625,0.010048260937444866,1.1882,1.0414938105000087,-1.0958
25,0.025,0.96577045,0.010157856797566638,1.1918,1.0418863710000088,-1.09755
26,0.026,0.9646729,0.010323005589889363,1.19525,1.0423657740000092,-1.09575
27,0.027,0.96357715,0.010455247877631337,1.19885,1.0427258145000093,-1.0949
28,0.028,0.96248225,0.010581784937530756,1.20235,1.0432134750000104,-1.09865
29,0.029,0.9613836,0.010709451040020213,1.20595,1.0436597175000115,-1.09735
30,0.03,0.96028625,0.010810410937410779,1.2096,1.0441291355000113,-1.09575
31,0.031,0.9591905000000001,0.01093530974991154,1.21315,1.0446008700000116,-1.09915
32,0.032,0.95809135,0.011060905177495443,1.2172,1.0451023070000123,-1.0944
33,0.033,0.95699695,0.011203540697460995,1.22035,1.045493356000012,-1.1029
34,0.034,0.9558940499999999,0.011365924597601407,1.22425,1.0459948565000123,-1.0979
35,0.035,0.9547961500000001,0.011483395177521743,1.2282,1.0465207310000129,-1.10315
36,0.036,0.953693,0.011593250999925657,1.23365,1.0474386920000136,-1.0966
37,0.037,0.9525964,0.011707207039929926,1.23655,1.0477539785000127,-1.10325
38,0.038,0.95149315,0.011837253077421337,1.24155,1.048503352000012,-1.10215
39,0.039,0.950391,0.011930719000054523,1.24585,1.0491915035000126,-1.10265
40,0.04,0.94928835,0.012068604277446866,1.2511,1.0499233495000126,-1.0972
41,0.041,0.94819115,0.012187111677485518,1.25585,1.0506330180000134,-1.10795
42,0.042,0.9470832,0.012323377760010771,1.26065,1.0512934970000134,-1.10885
43,0.043,0.94597435,0.012476392077514902,1.2651,1.0518498360000137,-1.10655
44,0.044,0.9448678,0.012588323160074652,1.26965,1.052366563000015,-1.10345
45,0.045,0.94376435,0.012704519077436999,1.2731,1.0526930590000152,-1.11045
46,0.046,0.9426539,0.012872714789933525,1.27705,1.0531612890000148,-1.1096
47,0.047,0.9415443,0.012989837510045617,1.2821,1.0539023910000156,-1.11255
48,0.048,0.94043175,0.0131375419376418,1.28725,1.0546577490000155,-1.1112
49,0.049,0.93932055,0.013280397697468289,1.29325,1.0555063245000165,-1.11255
50,0.05,0.9382079999999999,0.01346903600008227,1.2979,1.0560673410000159,-1.1117
51,0.051,0.9370963,0.013618426309898495,1.3022,1.0567640510000171,-1.1132
52,0.052,0.9359831000000001,0.013743014389881864,1.3077,1.0577113200000166,-1.1158
53,0.053,0.9348673,0.013855290709994734,1.3125,1.0582160530000166,-1.12385
54,0.054,0.93374345,0.0140239320974797,1.31865,1.0590133460000173,-1.1158
55,0.055,0.93262765,0.014170005477499217,1.3242,1.0597078870000187,-1.1175
56,0.056,0.9315101499999999,0.014349296977627091,1.3297,1.0603256755000205,-1.1193
57,0.057,0.93039085,0.014475886277505196,1.33505,1.0609547285000218,-1.12335
58,0.058,0.9292675,0.01462654374993872,1.3409,1.061790673000022,-1.12125
59,0.059,0.9281462500000001,0.01475296093756333,1.34685,1.0625941315000216,-1.12475
60,0.06,0.9270214999999999,0.014872937750071287,1.3533,1.0635407840000197,-1.11995
61,0.061,0.9259015500000001,0.015061257597408258,1.36005,1.0644425600000205,-1.12345
62,0.062,0.9247781,0.015214860390056857,1.36595,1.0651610135000225,-1.1219
63,0.063,0.9236562,0.015397701560053975,1.37145,1.0658762680000244,-1.12165
64,0.064,0.92253455,0.01556380629760679,1.37705,1.066554458500024,-1.1268
65,0.065,0.92140775,0.01572028993756976,1.3832,1.0673049045000251,-1.1195
66,0.066,0.9202882499999999,0.015888261937652713,1.38735,1.0677154115000271,-1.1282
67,0.067,0.91916005,0.016004433997557497,1.3929,1.0684568160000294,-1.12455
68,0.068,0.9180355,0.016186739750090055,1.3988,1.0691798120000293,-1.12365
69,0.069,0.91691185,0.016336679577594625,1.4042,1.069811254500029,-1.1257
70,0.07,0.91578615,0.016499718177481554,1.41025,1.0705033510000286,-1.12925
71,0.071,0.9146569,0.016671582390088587,1.4173,1.0713054600000302,-1.1265
72,0.072,0.9135304,0.016835375840077178,1.42355,1.0720259940000323,-1.134
73,0.073,0.9123964,0.016992067040060645,1.43055,1.0728982055000327,-1.1376
74,0.074,0.9112587999999999,0.017209922560141422,1.4368,1.0737425065000328,-1.13155
75,0.075,0.91012725,0.017409257437451742,1.44225,1.074360801500032,-1.1313
76,0.076,0.90899595,0.017564833597512916,1.4491,1.0752034355000317,-1.13105
77,0.077,0.9078649000000001,0.017746647989959455,1.45565,1.0759901360000337,-1.13895
78,0.078,0.90672595,0.01794774659757968,1.46265,1.0768469650000334,-1.13695
79,0.079,0.9055890000000001,0.018129378999816252,1.46995,1.0778449815000353,-1.13515
80,0.08,0.90445385,0.01828597017750144,1.4751,1.0783371310000347,-1.13935
81,0.081,0.9033144999999999,0.0184332897500135,1.482,1.0791751620000338,-1.14175
82,0.082,0.90217275,0.018636107437545433,1.4888,1.0800531175000352,-1.1406
83,0.083,0.90103215,0.018831916377530435,1.4949,1.0808362155000373,-1.1432
84,0.084,0.89988895,0.019004317897488365,1.50125,1.0816224905000378,-1.1478
85,0.085,0.89874115,0.019213346677599476,1.5096,1.0826614935000403,-1.1432
86,0.086,0.89759795,0.019415805797558278,1.51665,1.0835628915000413,-1.1462
87,0.087,0.89645175,0.019638271937612445,1.52475,1.084487322500041,-1.1452
88,0.088,0.89530655,0.019830677097430454,1.5313,1.0853020310000396,-1.14325
